# Heizkreis 2;class;cmd;comment;msg type: 1=BROAD, 2=MM, 3=MS;ZZ;PBSB;NN;D1D2D3;data len;position;datatype;factor;unit;comment details;GA/KNX;DPT/KNX
set;amu;brine_spreiz;Quelle/ zul. Spreizung;3;08;B509;05;0E6E00;2;1,2;d2c;1;°C;;;
set;amu;brine_frost;Quelle/ Einfrierschutz;3;08;B509;04;0E7A01;1;1;d1b;1;°C;;;
set;amu;brine_pump_pre_time;Quelle/ Vorlaufzeit Quellenpumpe;3;08;B509;07;0E7600;-;-;-;-;min;;;
#AMU Pumpe;;;;3;;;;;;;;;;;;
set;amu;offset_pump_min;Ausschaltzeit interne Heizkreispumpe (Minuten);3;08;B509;04;0E9901;1;1;bcd;1;min;;;
set;amu;preset_pump_sek;Interne Heizkreispumpe Vorlaufzeit (Sekunden);3;08;B509;04;0EC801;-;-; -;-;sec;;;
#AMU Cooling;;;;;;;;;;;;;;;;
set;amu;cooling_preset;Kühlungsvorlaufsollwert;3;08;B509;04;0E7401;1;1;d1b;1;°C;;;
#AMU Service;;;;;;;;;;;;;;;;
set;amu;service_time;Servicezeit;3;08;B509;04;0E6600;1;1;bcd;1;-;0=Nein 1=Ja;;
set;amu;venting;Entlüftung;3;08;B509;04;0E1300;1;1;bcd;1;-;0=Nein 1=Ja;;
#set;amu;code_1;Code 1;3;08;B509;-;0E9700;-;-;-;-;-;Code: 03F8 = 0xF8 0x03;;
#set;amu;code_2;Code 2;3;08;B509;-;0E9800;-;-;-;-;-;Code: 03F8 = 0xF8 0x03;;
#set;amu;save_codes;Codes übernehmen;3;08;B509;04;0E2400;1;1;bcd;1;-;0=Nein 1=Ja;;
#;;;;;;;;;;;;;;;;
set;amu;high_eff_pump_perc_heating;Pumpensollwert in% beim Heizen;3;08;B509;04;0EAE01;1;1;d1b;1;%;;;
set;amu;bivalentmode;Bivalenzmodus;3;08;B509;04;0EE301;1;1;bcd;1;-;;;
#Kalibrierung;;;;;;;;;;;;;;;;
set;cal;outdoor;Kalibrierung/ Aussentemperatur;3;08;B509;05;0EC300;2;1,2;d2c;1;°C;1/16 Auflösung = 0,1875;;
set;cal;brine_in;Kalibrierung - Quelle Eintritt;3;08;B509;05;0ECD00;2;1,2;d2c;1;°C;;;
set;cal;brine_out;Kalibrierung - Quelle Austritt;3;08;B509;05;0EC900;2;1,2;d2c;1;°C;;;
set;cal;boiler;Kalibrierung/ WW-Speicher;3;08;B509;05;0EC400;2;1,2;d2c;1;°C;;;
set;cal;heat_flow;Kalibrierung/ Vorlauf;3;08;B509;05;0ECA00;2;1,2;d2c;1;°C;;;
set;cal;heat_return;Kalibrierung/ Rücklauf;3;08;B509;05;0ECB00;2;1,2;d2c;1;°C;;;
set;cal;VF2;Kalibrierung - Vorlauf VF2;3;08;B509;05;0EC500;2;1,2;d2c;1;°C;;;
set;cal;comp_in;Kalibrierung - Kompressor Eintritt;3;08;B509;05;0EC600;2;1,2;d2c;1;°C;;;
set;cal;comp_out;Kalibrierung - Kompressor Austritt;3;08;B509;05;0EC700;2;1,2;d2c;1;°C;;;
set;cal;buffer_in;Kalibrierung/ Puffer RL;3;08;B509;05;0E3400;2;1,2;d2c;1;°C;;;
set;cal;buffer_out;Kalibrierung/ Puffer VL;3;08;B509;05;0E3301;2;1,2;d2c;1;°C;;;
#Heizkreis 2;;;;;;;;;;;;;;;;
set;cir2;mode;Heizkreis - Betriebsart;3;50;B509;04;0E2B00;1;1;bcd;1;;01=Ein 02=Aus 03=Auto 04=Eco 05=Absenken;;
set;cir2;type;Heizkreis - Kreis Typ;3;50;B509;04;0E3C00;1;1;bcd;1;;;;
set;cir2;rt_day;Heizkreis/ Raumsolltemperatur;3;50;B509;04;0E3200;1;1;d1b;0.5;°C;;;
set;cir2;rt_night;Heizkreis/ Absenktemperatur;3;50;B509;04;0E3300;1;1;d1b;0.5;°C;;;
#set;cir2;curve;Heizkreis/ Heizkurve;3;50;B509;05;0E3500;-;-;-;-;-;;;
set;cir2;at_off;Heizkreis/ Aussentemperatur Abschaltgrenze;3;50;B509;04;0E3600;1;1;d1b;1;°C;;;
set;cir2;vl_min;Heizkreis - minimale Vorlauftemperatur;3;50;B509;04;0E3000;1;1;d1b;1;°C;;;
set;cir2;vl_max;Heizkreis - maximale Vorlauftemperatur;3;50;B509;04;0E3100;1;1;d1b;1;°C;;;
set;cir2;pre_hours;Heizkreis - max. Voraufheizung in Stunden;3;50;B509;04;0E3800;1;1;bcd;1;h;;;
set;cir2;estrich;Heizkreis Estrichtrocknung Tag;3;50;B509;04;0E3B00;1;1;bcd;1;d;;;
#;;;;;;;;;;;;;;;;
set;cir2;cooling;Kühlbetrieb;3;50;B509;04;0E8C01;1;1;bcd;1;;1=An 2=Aus 3=Auto;;
set;cir2;cooling_support;Kühlbetrieb supported/ für freigegeben;3;50;B509;04;0E8601;1;1;bcd;1;;;;
set;cir2;cooling_offset_outdoor;Kühlung Offset AT-Abschaltgrenze;3;50;B509;04;0E8701;1;1;d1c;1;°C;;;
set;cir2;locktime_cool>heat;Sperrzeit Kuehlung > Heizung;3;50;B509;04;0E8401;1;1;bcd;1;h;;;
set;cir2;locktime_heat>cool;Sperrzeit Heizung > Kühlung;3;50;B509;04;0E8501;1;1;bcd;1;h;;;
set;cir2;min_diff;min Diff VL / RT;3;50;B509;04;0E8B01;1;1;d1c;1;°C;;;
set;cir2;holiday_cooling;Kühlen im Ferienbetrieb;3;50;B509;04;0E9501;1;1;bcd;1;-;;;
#;;;;;;;;;;;;;;;;
set;cir2;heat_pump_pause;Heizkreispumpe in Pausen;3;50;B509;04;0EE101;1;1;d1b;1;%;%;;
#Boiler;;;;;;;;;;;;;;;;
set;hw;mode;WW/ Betriebsmodus;3;25;B509;04;0E2B00;1;1;bcd;1;-;01=Ein 02=Aus 03=Auto;;
set;hw;temp;WW/ Solltemperatur;3;25;B509;05;0E8200;2;1,2;d2c;1;°C;;;
set;hw;min_temp;WW/ Min. Temperatur;3;25;B509;05;0E8300;2;1,2;d2c;1;°C;;;
set;hw;legionella_protect;WW/ Legionellenschutz;3;25;B509;04;0E4000;1;1;bcd;1;-;00=Aus 01=An;;
set;hw;legionella_wday;WW/ Legionellenschutz Wochentag;3;25;B509;04;0E7C01;1;1;bcd;1;-;00=Mo 01=Di 02=Mi 03=Do ... ;;
#set;hw;legionelle_starttime;WW/ Legionellenschutz Startzeit;3;25;B509;06;0E6700;-;-;-;-;-;;;
#Shortcuts;;;;;;;;;;;;;;;;
set;short;cir2_party;Quick/ Party-Modus;3;50;B505;02;0A;1;1;bcd;1;-;;;
set;short;cir2_rt_day;Quick/ Raumsolltemperatur;3;50;B505;02;01;1;1;d1b;1;°C;;;
set;short;cir2_mode;Quick/ Heizkreis Betriebsmodus;3;50;B505;02;02;1;1;d1b;1;-;01=Ein 02=Aus 03=Auto 04=Eco 05=Absenken;;
#set;short;cir2_curve;Quick/ Heizkurve;3;50;B505;02;03;-;-;-;-;-;;;
set;short;party;Quick - Partymodus;3;50;B505;02;05;1;1;bcd;1;-;;;
set;short;hw_load;Quick - WW Speicherladung;3;50;B505;02;06;1;1;bcd;1;-;;;
set;short;cir2_save;Quick/ Sparen bis..;3;50;B505;02;07;1;1;d1c;1;-;21.5 = 21:30 Uhr;;
